Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
90	gsp008	301.314608955542	57.522709109101	25.9412724963648	60.5828978966238	532.601645766184	520.673247717823	1050.12018820263	196.240673168613	191.864246343314	174.254630155664	11.6610924055907	40.4628060581915	52.7292060693141	63.5143503543182	176.929147867259
100	gsp008	334.734296591728	63.8957555168501	28.8163528597872	67.3024263161503	591.760233901307	578.598290758099	1166.65401035651	218.023002276784	213.105940684723	193.707032236939	12.9445081279122	44.99360160933	58.5798329399661	70.6017344595958	196.62703317661
1	gsp009	0.0784686381684997	0.0274528709729409	0.0175788605889866	0.0405319617820528	0.575801488091136	0.587833970364749	2.00977415926057	0.0746157911598284	0.0910285031360284	0.0926292150886017	0.0547074460529694	0.299876550259008	0.303841624304945	0.42523640105049	0.0889814144713248
5	gsp009	0.405755024972625	0.129784521275743	0.0933765515247266	0.19338940559892	2.88275987379943	2.91563677030276	10.1641158689312	0.393060431306224	0.429009648431226	0.456016705233577	0.292833811446764	1.48551666487122	1.48486383541385	2.0910673185023	0.444048352695544
10	gsp009	0.801758392346285	0.280169313752762	0.175725319966596	0.400201896158769	5.73722784591875	5.83129772989174	20.318467141808	0.774251798656257	0.867189567779646	0.90101603440279	0.577387573963665	2.93255801983128	2.93607081047891	4.20509223852999	0.89935963083774
20	gsp009	1.58213514329199	0.555757289202325	0.356418444274494	0.802448912086852	11.5206434462645	11.7107796741366	40.7224079703136	1.55114332348979	1.71899812476778	1.82727358898409	1.16687822916423	5.8519818197825	5.94114718533747	8.39543660677193	1.78412102743712
30	gsp009	2.39236597377488	0.833696688289826	0.540807185230584	1.18510373125365	17.2674930026864	17.532919509025	61.1014363654416	2.35841181022211	2.57586252384825	2.7341965908295	1.74183815511127	8.71540798465837	8.84314119820785	12.5618237371716	2.66331073135182
40	gsp009	3.19917205136117	1.10096270546478	0.72339944977812	1.57878014554637	22.9571945265833	23.2923879972762	81.424729269852	3.11622839524056	3.433980546751	3.6506830801287	2.34418879119105	11.6943008635294	11.7908225848052	16.8578685357297	3.56521895663733
50	gsp009	3.97908245537006	1.38155308156037	0.885697465722234	1.98672064440258	28.6951216116365	29.184786457825	101.876372777152	3.88988558748885	4.26746009400632	4.60639502848288	2.91569021174907	14.6009456885832	14.7290420226969	21.0091891160588	4.43810791403128
60	gsp009	4.8023243091357	1.66140596569678	1.07185821252988	2.38834773955339	34.4870791239991	35.0078215775746	122.24966662382	4.67930744385906	5.14048378009914	5.47146409592683	3.48863680152381	17.5099548757304	17.6689054882396	25.2182014253115	5.35472463169702
70	gsp009	5.59959136982522	1.94387916832734	1.24796437311918	2.77313571624055	40.2450307189872	40.8213294937998	142.546222772638	5.45279418602067	5.98708798402832	6.39941602562714	4.06814487582317	20.4953965819413	20.6048651967644	29.3849139859922	6.24027330518188
80	gsp009	6.38135591075053	2.21945617421687	1.43188057918152	3.16452877442169	45.9895043812142	46.6352221884385	162.957937925229	6.23341282982865	6.88434989746274	7.31522605872427	4.65223260080112	23.3159056089048	23.5518335619596	33.587823844617	7.13482095568495
90	gsp009	7.19083687336037	2.48916334040542	1.61387598715493	3.56909936818147	51.7024501215512	52.4855540738836	183.340819729907	7.01290470293166	7.71863247276666	8.21093873275705	5.22673433666367	26.2626534578163	26.5210532577765	37.8438013407053	8.02043741542539
